time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-31T13:00:50.550Z,34.0031667,-117.2265,15.51,1.26,ml,33,62,0.07134,0.22,ci,ci40592512,2023-10-31T13:04:19.789Z,"6 km SSE of Loma Linda, CA",earthquake,0.31,0.55,0.216,30,automatic,ci,ci
2023-10-31T12:56:23.849Z,58.1646,-155.4051,1.1,0.4,ml,,,,0.54,ak,ak023dyyurbk,2023-10-31T12:57:44.129Z,"Alaska Peninsula",earthquake,,2.6,,,automatic,ak,ak
2023-10-31T12:39:31.520Z,33.997,-117.2541667,12.77,1.64,ml,52,52,0.06478,0.18,ci,ci40592488,2023-10-31T12:50:31.480Z,"6 km S of Loma Linda, CA",earthquake,0.2,0.45,0.201,27,automatic,ci,ci
2023-10-31T12:33:44.316Z,-28.7457,-71.5726,40.98,6.7,mww,108,70,0.695,1.01,us,us7000l7si,2023-10-31T13:08:15.848Z,"Near the coast of Atacama, Chile",earthquake,4.55,5.115,0.069,20,reviewed,us,us
2023-10-31T12:27:52.395Z,60.685,-151.1004,41.7,1.9,ml,,,,0.48,ak,ak023dyyolnu,2023-10-31T12:29:15.736Z,"10 km E of Nikiski, Alaska",earthquake,,2.3,,,automatic,ak,ak
2023-10-31T12:26:49.914Z,67.2794,-156.6134,0.1,2.7,ml,,,,0.86,ak,ak023dyyodun,2023-10-31T12:37:26.143Z,"43 km NNE of Kobuk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-10-31T12:20:33.020Z,38.847168,-122.815834,1.55,0.74,md,9,81,0.009508,0.01,nc,nc73954120,2023-10-31T13:00:10.902Z,"8 km WNW of Cobb, CA",earthquake,0.36,0.97,0.14,12,automatic,nc,nc
2023-10-31T12:20:18.462Z,-27.1784,-63.2874,550.615,4.8,mb,70,45,5.239,0.81,us,us7000l7se,2023-10-31T12:35:45.040Z,"17 km SSW of El Hoyo, Argentina",earthquake,11.36,8.522,0.074,56,reviewed,us,us
2023-10-31T12:14:58.440Z,34.7088333,-118.7431667,-0.37,1.95,ml,9,168,0.2363,0.33,ci,ci40592464,2023-10-31T12:18:41.585Z,"14 km SE of Gorman, CA",earthquake,1.42,31.61,0.172,4,automatic,ci,ci
2023-10-31T12:12:38.560Z,33.5288333,-117.203,15.97,0.91,ml,25,67,0.07125,0.23,ci,ci40592456,2023-10-31T12:16:15.566Z,"3 km SSE of Murrieta, CA",earthquake,0.35,0.69,0.24,13,automatic,ci,ci
